Barrels,Number_of_Breweries,Total_Barrels,Taxable_Removals,Total_Shipped_Exported,Date
6000001 Barrels and Over,18,171232881.6,159643984.2,3639970.11,2009
1000001 to 6000000 Barrels (5),4,9970404.28,9592722.75,14548.37,2009
500001 to 1000000 Barrels,7,4831385.68,4535659.48,21563.66,2009
100001 to 500000 Barrels,27,5422155.72,4469288.93,128000.13,2009
60001 to 100000 Barrels,19,1501976.56,1224618.44,95732.77,2009
30001 to 60000 Barrels,32,1412244.73,1233958.75,14369.85,2009
15001 to 30000 Barrels,40,895133.22,750528.77,19808.1,2009
7501 to 15000 Barrels,42,442753.54,388968.45,240.18,2009
1001 to 7500 Barrels,357,859934.81,769155.15,,2009
1 to 1000 Barrels ,1037,400401.17,371872.85,,2009
Under 1 Barrel,195,3.7,14711.36,,2009
6000001 Barrels and Over,17,167562085.4,153687098.7,2410884.99,2007
1000001 to 6000000 Barrels (5),3,13003841.85,12705937.93,1110458.58,2007
500001 to 1000000 Barrels,10,6641984.43,6361689.7,107036.38,2007
100001 to 500000 Barrels,24,4972430.67,3920412.25,133170.81,2007
60001 to 100000 Barrels,20,1513844.02,1229995.99,2777.13,2007
30001 to 60000 Barrels,34,1441864.66,1220403.56,56713.4,2007
15001 to 30000 Barrels,26,538169.53,507959.18,1560.71,2007
7501 to 15000 Barrels,41,452233.35,435496.75,579.92,2007
1001 to 7500 Barrels,356,819158.91,748857.91,2168.69,2007
1 to 1000 Barrels ,909,355171.47,333645.08,532.71,2007
Under 1 Barrel,179,0.8,10299.88,1848.39,2007
