Barrels (31 gallons) (2),Number of Breweries (1),Total Barrels (3),Taxable Removals (4),Total Shipped (Exported) (6),Date
"1,000,001 to 1,999,999 Barrels",9,"13,524,548.35","12,843,570.78","363,998.23",2011
"500,001 to 1,000,000 Barrels",11,"8,448,633.99","7,946,481.07","50,702.23",2011
"100,001 to 500,000 Barrels",41,"7,926,808.21","6,624,765.18","242,865.43",2011
"60,001 to 100,000 Barrels",16,"1,157,839.90","1,059,934.77","11,701.43",2011
"30,001 to 60,000 Barrels",43,"1,754,234.55","1,476,996.37","52,204.69",2011
"15,001 to 30,000 Barrels",42,"893,273.36","710,825.62","40,413.02",2011
"7,501 to 15,000 Barrels",63,"662,095.46","577,424.67",270.75,2011
"1,001 to 7,500 Barrels",513,"1,254,333.75","1,126,835.82",930.14,2011
"1 to 1,000 Barrels ","1,334","458,109.83","416,612.28",580.62,2011
"6,000,001 Barrels and Over",17,"160,771,860.70","149,598,222.82","3,659,459.42",2010
"1,000,000 to 6,000,000 Barrels (5)",5,"15,450,769.10","14,777,149.88","37,401.27",2010
"500,001 to 1,000,000 Barrels",9,"7,138,171.64","6,362,275.19","16,610.42",2010
"100,001 to 500,000 Barrels",32,"6,123,725.23","5,127,607.79","254,925.11",2010
"60,001 to 100,000 Barrels",16,"1,226,091.75","1,034,161.39","12,534.00",2010
"30,001 to 60,000 Barrels",38,"1,544,051.10","1,256,492.48","42,409.47",2010
"15,001 to 30,000 Barrels",40,"911,065.75","781,016.15","19,077.36",2010
"7,501 to 15,000 Barrels",51,"560,159.34","465,843.88","4,521.08",2010
"1,001 to 7,500 Barrels",428,"1,059,505.16","962,969.63","2,227.70",2010
"1 to 1,000 Barrels ","1,178","426,003.38","393,941.57","1,279.83",2010
"6,000,001 Barrels and Over",18,"171,232,881.59","159,643,984.23","3,639,970.11",2009
"1,000,001 to 6,000,000 Barrels (5)",4,"9,970,404.28","9,592,722.75","14,548.37",2009
"500,001 to 1,000,000 Barrels",7,"4,831,385.68","4,535,659.48","21,563.66",2009
"100,001 to 500,000 Barrels",27,"5,422,155.72","4,469,288.93","128,000.13",2009
"60,001 to 100,000 Barrels",19,"1,501,976.56","1,224,618.44","95,732.77",2009
"30,001 to 60,000 Barrels",32,"1,412,244.73","1,233,958.75","14,369.85",2009
"15,001 to 30,000 Barrels",40,"895,133.22","750,528.77","19,808.10",2009
"7,501 to 15,000 Barrels",42,"442,753.54","388,968.45",240.18,2009
"1,001 to 7,500 Barrels",357,"859,934.81","769,155.15",,2009
"1 to 1,000 Barrels ","1,037","400,401.17","371,872.85",,2009
Under 1 Barrel,195,3.7,"14,711.36",,2009
"6,000,001 Barrels and Over",17,"167,562,085.40","153,687,098.69","2,410,884.99",2007
"1,000,001 to 6,000,000 Barrels (5)",3,"13,003,841.85","12,705,937.93","1,110,458.58",2007
"500,001 to 1,000,000 Barrels",10,"6,641,984.43","6,361,689.70","107,036.38",2007
"100,001 to 500,000 Barrels",24,"4,972,430.67","3,920,412.25","133,170.81",2007
"60,001 to 100,000 Barrels",20,"1,513,844.02","1,229,995.99","2,777.13",2007
"30,001 to 60,000 Barrels",34,"1,441,864.66","1,220,403.56","56,713.40",2007
"15,001 to 30,000 Barrels",26,"538,169.53","507,959.18","1,560.71",2007
"7,501 to 15,000 Barrels",41,"452,233.35","435,496.75",579.92,2007
"1,001 to 7,500 Barrels",356,"819,158.91","748,857.91","2,168.69",2007
"1 to 1,000 Barrels ",909,"355,171.47","333,645.08",532.71,2007
Under 1 Barrel,179,0.8,"10,299.88","1,848.39",2007
